飞得	-1
更	5.34
高	6.1
孙正义	-1
传	5.14
作者	5.44
[	-1
日	4.88
]	-1
井上	-1
笃夫	-1
第一	-1
部分	5.08
第	5.32
1	-1
节	5.14
另类	-1
思维	5.44
另类	-1
思维	5.44
决定	5.32
另类	-1
成功	7.48
盛大	6.62
集团	5.06
总裁	5.62
唐骏	-1
在	5.02
我	5.58
认识	5.36
和	5.46
见	5.24
过	5.04
的	5.1
国外	5.8
企业家	-1
中	4.98
有	5.36
两位	-1
最	5.14
尊敬	6.82
的	5.1
一位	-1
是	5.42
比尔	-1
?	-1
盖茨	-1
另	4.82
一位	-1
是	5.42
孙正义	-1
孙正义	-1
是	5.42
日本	4.68
的	5.1
典型	5.46
代表	5.28
盖茨	-1
是	5.42
美国	5.6
的	5.1
代表	5.28
他们	5.12
两个	-1
有着	5.04
很多	5.46
共同之处	-1
他们	5.12
的	5.1
远见	6.14
他们	5.12
的	5.1
执著	-1
他们	5.12
的	5.1
勤奋	6.84
100	-1
多年	5.08
前	5.24
美国	5.6
加州	5.72
因	5.14
发现	5.9
金矿	-1
而	5.18
吸引	5.88
了	5.08
大批	5.38
淘金者	-1
加盟	5.5
犹太人	5.58
莱维	-1
?	-1
施特劳斯	-1
也	5.2
是	5.42
这批	-1
淘金者	-1
之一	-1
却	4.68
每天	-1
以	4.92
失望	2.84
告终	4.3
一天	4.92
莱维	-1
和	5.46
一位	-1
疲惫不堪	-1
的	5.1
矿工	4.64
坐在	-1
一起	5.74
休息	5.6
这位	-1
矿工	4.64
抱怨	3.32
说	5.22
"	-1
唉	-1
我们	5.96
一整天	-1
拼命	5.0
地	5.16
挖	4.74
啊	4.78
挖	4.74
裤子	-1
破	3.78
了	5.08
也	5.2
顾不上	-1
补	5.34
这鬼	-1
地方	5.18
裤子	-1
破	3.78
得	5.44
特别	6.1
快	5.98
"	-1
莱维	-1
眼前一亮	-1
帆布	-1
不	4.4
正是	-1
耐磨	-1
的	5.1
布料	-1
吗	4.82
不久	5.04
第一条	-1
牛仔裤	-1
的	5.1
前身	5.16
--	-1
工装裤	-1
就	4.94
这样	4.94
诞生	5.98
了	5.08
并	5.04
从	5.16
加州	5.72
迅速	5.86
推向	-1
全国	5.28
乃至	4.68
全世界	-1
莱维	-1
也	5.2
由	4.86
当初	4.92
的	5.1
贫困	3.1
淘金者	-1
一跃	-1
而	5.18
变成	-1
"	-1
牛仔裤	-1
大王	-1
"	-1
其实	4.82
成功	7.48
就是	4.98
这样	4.94
简单	5.92
换个	-1
想法	5.14
避开	3.1
竞争	5.2
焦点	5.54
的	5.1
锋芒	-1
迅速	5.86
抢占	-1
潜藏	3.1
的	5.1
市场	4.92
就	4.94
可以	5.58
了	5.08
但是	4.56
说	5.22
起来	5.5
简单	5.92
做	5.26
起来	5.5
难	3.18
并	5.04
不是	4.2
每个	-1
人	5.3
都	4.84
能	5.48
及时	5.58
调整	5.44
思维	5.44
准确	6.36
地	5.16
判断	5.36
出	4.98
潜在	5.1
机遇	6.06
的	5.1
飞得	-1
更	5.34
高	6.1
--	-1
孙正义	-1
传	5.14
正是	-1
通过	5.84
网络	5.56
传奇人物	-1
--	-1
孙正义	-1
的	5.1
成功	7.48
经历	5.3
教给	-1
我们	5.96
怎	4.9
>	-1
样	5.08
把握	5.64
机遇	6.06
发现	5.9
潜在	5.1
商机	-1
从而	5.04
让	5.36
成功	7.48
变得	-1
简单	5.92
起来	5.5
的	5.1
一本	-1
好书	-1
孙正义	-1
今天	5.52
的	5.1
成绩	5.64
与其	5.04
独特	5.92
的	5.1
思维	5.44
方式	4.94
是	5.42
分不开	-1
的	5.1
比如说	-1
绝大多数	-1
人	5.3
都	4.84
认为	5.1
对	6.14
一项	-1
事业	5.74
的	5.1
把握	5.64
越大	-1
取得成功	-1
的	5.1
可能	5.2
也	5.2
就	4.94
越	5.12
大	5.7
但	4.62
孙正义	-1
却	4.68
不	4.4
这么	5.12
想	5.3
他	5.06
说	5.22
如果	5.36
非得	-1
等到	5.24
有	5.36
九成	-1
或	4.96
九成	-1
五	5.14
的	5.1
胜算	-1
才	5.48
愿意	6.12
采取行动	-1
的话	4.9
我	5.58
的	5.1
事业	5.74
绝不会	-1
像	5.5
现在	5.14
那么	4.88
成功	7.48
过于	4.38
慎重	5.12
可能	5.2
会	5.22
错过	3.92
许多	5.36
战胜	6.74
的	5.1
机会	6.0
所	4.98
瞄准	5.24
的	5.1
目标	5.64
容易	6.02
被	4.5
其他人	-1
捷足先登	-1
因此	5.06
非得	-1
有	5.36
九成	-1
胜算	-1
才	5.48
行动	5.4
的	5.1
人	5.3
会	5.22
被	4.5
以	4.92
七成	-1
胜算	-1
为	5.16
行动	5.4
依据	5.36
的	5.1
人	5.3
打败	5.02
以	4.92
概率	5.46
来说	-1
九成	-1
胜算	-1
当然	5.44
要	5.2
比	5.0
七成	-1
胜算	-1
理想	6.56
但	4.62
孙正义	-1
告诉	5.04
我们	5.96
在	5.02
实战	5.04
上	5.58
情形	5.1
刚好	-1
相反	4.52
前者	5.22
更	5.34
容易	6.02
失败	2.8
就	4.94
以	4.92
棒球	-1
为例	-1
以	4.92
九成	-1
胜算	-1
为	5.16
目标	5.64
的	5.1
人	5.3
站	5.04
在	5.02
打击	3.94
位置	5.18
上	5.58
或许	5.1
有	5.36
九成	-1
的	5.1
几率	-1
可以	5.58
击出	-1
安	5.88
打	4.02
但是	4.56
他	5.06
必须	4.98
在	5.02
有	5.36
击出	-1
安	5.88
打	4.02
可能	5.2
的	5.1
情况	5.02
下	4.6
才	5.48
会	5.22
登上	-1
打击	3.94
位置	5.18
如此一来	-1
他	5.06
的	5.1
打击	3.94
次数	5.02
将会	-1
减少	4.44
总	5.02
打点	-1
或	4.96
全垒打	-1
的	5.1
数量	4.92
也	5.2
会	5.22
跟着	5.22
减少	4.44
因此	5.06
七成	-1
胜率	-1
是	5.42
最	5.14
理想	6.56
的	5.1
目标	5.64
这	5.14
就是	4.98
孙正义	-1
的	5.1
超前	6.02
的	5.1
新颖	6.3
的	5.1
思维	5.44
这些	5.18
观念	5.28
伴随	5.68
着	4.88
他	5.06
在	5.02
19	-1
岁	5.44
的	5.1
时候	5.0
拿到	-1
第一个	-1
100	-1
万美元	-1
在	5.02
三十七岁	-1
的	5.1
时候	5.0
打造	-1
了	5.08
软银	-1
帝国	5.02
在	5.02
本书	-1
中	4.98
作者	5.44
详细	5.72
地为	-1
读者	5.32
展示	5.56
了	5.08
他	5.06
用	5.1
创造性	6.36
的	5.1
思维	5.44
和	5.46
手法	5.34
取得	5.58
辉煌	7.18
成功	7.48
的	5.1
历程	5.28
人人	-1
渴望	5.88
成功	7.48
但是	4.56
成功	7.48
却	4.68
并	5.04
不能	3.84
被	4.5
每个	-1
人	5.3
分享	6.14
本书	-1
启发	5.98
读者	5.32
取得成功	-1
最	5.14
简单	5.92
的	5.1
办法	5.44
就是	4.98
避开	3.84
竞争	5.2
激烈	4.82
的	5.1
领域	5.08
积极	6.38
抢占	-1
只有	5.14
七成	-1
胜算	-1
的	5.1
"	-1
第二	-1
落点	-1
"	-1
足球场	-1
中	4.98
就	4.94
有	5.36
抢	3.68
"	-1
第二	-1
落点	-1
"	-1
之	5.26
说	5.22
在	5.02
一般	4.66
情况	5.02
下	4.6
"	-1
第一	-1
落点	-1
"	-1
是	5.42
有	5.36
九成	-1
胜算	-1
的	5.1
进攻	4.88
位置	5.18
只要	5.16
得手	-1
极易	-1
进球	-1
